"PG.ProteinGroups","C_1","C_2","C_3","C_4","C_5","C_6","C_7","C_8","C_9","AA_1","AA_2","AA_3","AA_4","AA_5","AA_6","AA_7","AA_8","AA_9"
"O14579",-0.105729617749661,0.656842292367804,0.339646092003502,-0.00872371131851679,-0.0992833547141512,-0.104271079011543,-0.495676741355394,-0.0623896597433653,0.0403494175427053,1.16160915044483,0.789232441167162,0.950295906458289,1.22008885549895,0.827992586481161,1.15411998253356,0.747425591133595,0.864091364269079,1.07267388640059
"O14617",-2.95835939772495,-3.56473654456619,-3.22434276528924,-2.38040513817544,-2.14681570021736,-2.94645518508804,-2.450136551139,-2.83118331432318,-2.3732439586026,-1.96729245619903,-1.90155747873278,-2.74839649975618,-2.546464817038,-3.56306883078834,-2.83030910211833,-2.57002280425846,-3.65459522858537,-3.23798452078929
"O14618",-2.18240302856089,-2.31420447126216,-1.48105938085577,-2.93491369353045,NA,-1.28148559098903,-2.24619569232086,-1.7742412930096,-2.66327435678805,-0.787645740702192,-0.532766411795522,-0.698468846266818,-0.37197631155334,-0.696817561481167,-1.11178264554883,-0.866768107940341,-0.54603093075452,-0.663656186262502
"O14657",1.83055816323257,2.23379946954989,2.24747775257699,1.9639578423696,2.05454922163364,1.72534937706237,2.17298824772976,2.02848097316746,2.14226875228359,0.883196897134569,0.891535511628037,1.12025075774769,1.6737881827901,1.36496350661728,1.30006138302315,1.3822872152026,1.43654806912669,1.21289807374343
"O14672",3.54571671220406,3.33457273512555,3.74222165549931,3.80091879344229,3.77022797685112,3.44535679332621,3.83658201810949,3.5250180021747,3.79268897620678,2.01358508551205,2.14064523078824,2.2638981580372,2.73748276310466,2.77410279331335,2.38958800450071,2.38980112868867,2.84205765239091,2.9156397102687
"O14737",-0.894254043721427,-0.918779017948117,-0.0783974667986627,-0.55358229124537,-0.821242037894807,-0.645475999773923,-0.421665534066975,-0.874177372827303,-0.345844260171855,0.595801165818537,0.433798057795832,0.818339596275209,0.600177640199044,0.287598704624854,0.323749921268336,0.316920750276237,0.53930647577263,0.00639771760942587
"O14744",-1.1476955111958,-0.988884889853675,-0.602261025526683,-0.953086227329573,-1.35292157876902,-1.0515403411211,-0.888344625850944,-1.20166938832719,-0.179658637660776,-0.219408582548661,-0.118159462990187,-0.0917630916343715,-0.0174294692392749,-0.0661767906542909,-0.281559860462441,-0.175441660094876,-0.378348574222423,-0.337603224496542
"O14745",-1.52803871934479,-1.73680819085581,-2.11598399198395,-1.36600809210084,-1.79313799951586,-1.56533750054902,-1.84396231340271,-1.78717669664019,-1.23592182135021,-1.57635554769618,-1.005635306073,-1.71313046851575,-1.26956697241561,-0.948101501450679,-1.54917066573862,-1.20656327177249,-0.969063060010598,-0.777458878977862
"O14773",3.38246252521428,3.3216646660754,3.52640013082558,3.52397693220338,3.43729184278449,3.1228558745068,3.52958231524065,3.48663968872966,3.42910789444819,2.86894303707088,3.52171890061692,3.23956140806825,3.71786339521873,3.93088573432822,3.53370247889168,3.34679240789911,3.67742631152854,3.53408745370279
"O14776",NA,-2.68051467696348,-3.13105353891174,-2.22035020621003,-4.28107872695279,-3.0656977971264,-3.37098285539626,-3.6990940691272,-2.5464826697279,-2.54725277930117,-2.82408791972929,-2.18109852436,-3.13342848325986,-3.04661811699155,-2.7589961051213,-2.71302311751589,-3.29600435670905,-3.03591992175397
"O14786",4.16976631256453,4.35755791262029,4.5469465629157,4.53335709264896,4.50609324010696,4.25364657105036,4.61253615024514,4.44161681717651,4.60875787040822,3.45200433009447,3.85457054194447,3.82191233350191,3.83283516342533,3.70098636144924,3.28812008930703,2.84188417049138,3.19998580346573,3.29563651487599
"O14787",-0.817355701281142,-0.633841195308236,-0.60684964727066,-0.417766452225301,-0.629189017254825,-0.66430183546789,-0.911600114784961,-0.65782065340208,-0.759855538411863,-0.129352025253445,0.00343029504074543,0.0207801894268371,-0.136594263380946,-0.136479700212076,-0.331964580716571,-0.208837196962095,-0.657055028211174,-0.125216297192924
"O14792",2.63042568204118,2.47838943095563,2.66527752189809,2.37018800530417,2.14969144038751,2.20319754029595,2.62414637824692,2.39819380308156,2.51132064365666,-0.168445068186815,0.123581232640788,0.514548611132522,-0.246755425590436,-0.247085881303205,0.299243663135714,0.339546080386716,0.317964747200129,0.247740292644787
"O14817",-5.08770395594373,-3.67277159967457,-2.81571843525303,-2.63160455490828,-2.57220026055079,-3.38320436109187,-2.58508156067343,NA,-0.721584179139063,-2.5911442731441,-3.02140233933887,-4.18035051683604,-2.94403151263033,-3.202713982893,-2.96175298950408,NA,-2.90055492816179,-3.89999918539496
"O14818",2.46061312017203,2.40228296407327,2.54162332682524,2.62234009704415,2.38324989178068,2.27745842272567,2.55143508661601,2.56006786683252,2.54769985576088,2.4721933268558,2.56184841758328,2.18838074713153,1.81222291694896,2.2514756611414,2.24605020830115,2.47700969027832,2.00655449191326,1.90869792492121
"O14879",NA,NA,-2.99449401037986,NA,NA,-3.05115877417647,-2.71671051206157,NA,-1.91178864198698,-2.44211669024157,-2.60240889995875,-1.88111687987107,-1.86341843747449,NA,NA,-2.31621076211266,-2.74607686574356,-1.56938166567856
"O14907",1.26439534418726,-1.58050120927106,0.909665596532358,1.59244458892005,0.224760384728055,NA,0.0916344665512998,0.327435194542602,1.77415741704143,1.12006351501702,1.00828702781215,0.43220090902965,0.52364878200841,0.720496449556196,-1.18264568582091,-0.384609406908661,0.730442241622335,-2.74768046962922
"O14908",-1.90973833972442,-2.41985438501063,-2.25762067706032,-0.807631301361934,-2.35681446203131,-1.72534856908911,-2.65988575293411,-1.58044657065767,-2.27630226925945,-1.98111554077848,-2.53078496564259,-1.81009086091502,-2.49501130673307,-2.37977845599211,-2.26012883855263,-2.46143027067324,-2.87372831447996,-2.12121157577371
"O14950;P19105",2.13249675025317,2.35905041803441,2.65085170231485,2.30694883256754,2.61288011249698,2.68020577649016,2.09779272684667,2.18570190103955,2.27820047151518,3.2617542065189,3.24869074156071,3.32052656490794,3.15897022031075,2.88590370241909,3.0760124731277,3.18969866751914,3.09169006458426,3.01191001807005
"O14964",-1.42517833959661,-1.8678016000408,-1.83819181667699,-1.86029099131939,-2.00003692603129,-2.31172868292874,-1.80179116494487,-0.450211179126736,-2.4048309843732,-1.24200069893353,-0.972321599003961,-0.744049516959853,-1.02297572242482,-1.18223574377936,-0.974619138510151,-1.09854429555524,-0.737433924523024,-2.22011002101713
"O14974",-1.14908407186602,-1.89739834617242,-1.05403951171376,-1.19862917767041,-1.25681490592678,-1.52596357304079,-1.26475008007396,-1.07598701596199,-1.08371033764427,-0.405221958386992,-0.58437155041227,-0.445593652475155,-0.829558705069682,-0.945010051871574,-0.637786242313548,-0.5663754727007,-0.63163512970803,-0.609356004001067
"O14979",0.874840119153307,0.861129675996832,1.44201840966237,0.633293211473736,1.12039190798532,0.985874117581528,0.76531573149575,0.377422632370067,0.904829262161522,1.76540655014723,1.1506086863433,1.78603183167077,1.50550064383619,0.828543924168443,1.02888955525684,1.07122100884748,1.15914856986409,1.2617425873808
"O14980",1.32624064618899,1.16895997338982,1.09895739181715,0.997141479070986,0.869751146607731,0.894586511586304,1.11323626321148,1.02228040648772,1.11124199576546,1.74454297631132,1.57706848558815,1.59436242562666,1.52829867755187,1.51029175564675,1.63584584051906,1.77141118300669,1.59518674587943,1.67115137946554
"O15031",0.953910426822846,1.43696289193158,1.29893848154319,1.08234798398515,1.23418554392999,1.04688510279794,1.16190602804326,1.43983822103853,1.48601784103795,0.396447684987773,0.718110328438399,0.746986888998148,0.676312560244623,0.783478932458397,0.568957860189665,0.423389330629309,0.697411733418907,0.573931741238724
"O15050",-3.02070254276917,-1.28868451766303,-3.10381945560951,-2.3462909621087,-2.15711024137833,-3.54410592208572,3.12255930548812,-1.95233161437121,-3.05064091276647,-1.42668571381529,NA,-1.97940787047017,2.95582305874887,-2.19009715638343,-1.20915617524479,-1.86280971699499,0.627212596672324,2.94066641890036
"O15067",-0.431338535541974,-0.212729608722382,0.410755474151598,0.0678473048165387,0.090622030563166,0.118478732493475,-0.0671286809610763,0.0615853485854139,0.278433979006259,1.11784086482547,1.47834212362149,1.46230734370957,1.70241571658702,1.61223923555749,1.50286792083372,1.19061048940641,1.49128958313872,1.71644901024133
"O15116",-1.5997876569331,-1.38395851696136,-0.397429823685129,-1.03467680446195,NA,0.0645394294598702,-0.227729259079563,-1.18667091031045,-0.565488684876735,0.078211475874463,-0.337876307188914,0.10741521269456,0.475436569889187,-0.271978242694551,0.299988708761807,-0.153102720793672,NA,0.203497105858174
"O15118",0.0494172029271756,0.745228052791633,0.421294924473244,0.836251441469351,0.984836516424862,1.2249223301893,0.895872668403586,1.19800620704181,1.14087120359481,0.182485357060637,0.635925667788561,0.342267017795658,1.03859548212764,1.00631084799398,0.490621410325799,0.664462633423174,0.619421422515831,1.15579289347728
"O15143",0.597992778825656,0.340727655929271,0.776030507025206,0.586862325780514,0.626642715473093,0.230341238268441,0.447233191263937,0.461436907816804,0.424218210713056,1.38019249508283,1.62022097816669,1.77735274907905,1.67141328110317,1.70226792636008,1.51774487712556,1.28515270787431,1.63231077302932,1.33952821477863
